Object_name,Food_Type,FNDDS Food Code,Weight (g),Energy (Kcal),Protein (g),Fat (g),Carbs (g),Volume
French_Fry,new_waffle_fry_1,71401031,10.0,28.9,0.349,1.404,3.720000000000001,16.43
French_Fry,new_waffle_fry_2,71401031,134.0,387.26,4.676600000000001,18.8136,49.84800000000001,697.02
Fried mushrooms,new_fried_mushroom_1,75414030,13.0,28.86,0.6019,1.6783,2.847,15.98
Fried mushrooms,new_fried_mushroom_2,75414030,11.0,24.42,0.5093,1.4201,2.409,14.95
Fried mushrooms,new_fried_mushroom_3,75414030,10.0,22.2,0.463,1.291,2.19,11.66
Fried mushrooms,new_fried_mushroom_4,75414030,16.0,35.52,0.7408,2.0656,3.504,17.58
Fried mushrooms,new_fried_mushroom_5,75414030,10.0,22.2,0.463,1.291,2.19,13.13
French_toast,Toast_1,55300050,127.0,393.7,12.4968,18.161,45.3517,387.22
French_toast,Toast_2,55300050,141.0,437.1,13.8744,20.163,50.3511,392.58
French_toast,toast_3,55300050,90.0,279.0,8.856,12.87,32.139,162.18
French_toast,toast_4,55300050,51.0,158.1,5.0184,7.293,18.2121,108.56
French_toast,toast_5,55300050,54.0,167.4,5.3136,7.722000000000001,19.2834,121.37
Fried_egg,fried_egg_1,31105030,42.0,80.64,4.8552,6.6402,0.378,10.47
Fried_egg,fried_egg_3,31105030,75.0,144.0,8.67,11.8575,0.675,66.77
Fried_egg,new_fried_egg_1,31105010,308.0,440.44,38.0688,30.5844,2.9568,58.5
Fried_egg,new_fried_egg_2,31105040,265.0,482.3,30.7665,38.796,2.385,20.11
Fried_rice,new_fried_rice_1,58150110,162.0,281.88,6.220800000000001,5.167800000000001,52.65000000000001,285.17
Fried_rice,new_fried_rice_2,58150110,116.0,201.84,4.4544,3.7004,37.7,507.19
Fried_rice,last_fried_rice_1,58150110,461.0,802.1400000000001,17.7024,14.7059,149.825,666.5
Grapes,new_grape_1,63123000,311.0,214.59,2.2392,0.4976,56.291,412.49
Grapes,new_grape_2,63123000,125.0,86.25,0.8999999999999999,0.2,22.625,139.04
Grapes,new_grape_3,63123000,19.0,13.11,0.1368,0.0304,3.439000000000001,17.09
Grapes,new_grape_4,63123000,89.0,61.41,0.6408,0.1424,16.109,86.44
Grapes,new_grape_5,63123000,43.0,29.67,0.3096,0.0688,7.783,32.4
Green_Bean,Green_bean_1,75205021,7.0,2.24,0.133,0.0161,0.5068,9.94
Green_Bean,Green_bean_2,75205021,4.0,1.28,0.076,0.0092,0.2896,3.3
Green_Bean,new_green_bean_1,75205022,6.0,1.68,0.0894,0.0102,0.3858,6.56
Green_Bean,new_green_bean_2,75205022,7.0,1.96,0.1043,0.0119,0.4501,6.9
Green_Bean,new_green_bean_3,75205023,4.0,0.96,0.04160000000000001,0.0156,0.1644,4.38
Green_Bean,new_green_bean_4,75205023,7.0,1.68,0.0728,0.0273,0.2877000000000001,6.63
Green_beans,Green_beans_1,75205021,104.0,33.28,1.976,0.2392,7.5296,212.02
Green_beans,Green_beans_2,75205021,100.0,32.0,1.9,0.23,7.24,3.3
Green_beans,new_green_beans_1,75101800,134.0,41.54,2.4522,0.2948,9.3398,302.79
Green_beans,new_green_beans_2,75101800,91.0,28.21,1.6653,0.2002,6.3427,365.38
Green_beans,new_green_beans_3,75101800,82.0,25.42,1.5006,0.1804,5.7154,255.23
Green_beans,new_green_beans_4,75101800,197.0,61.07,3.6051,0.4334,13.7309,427.43
Guacamole,guacamole_1,63409010,107.0,165.85,2.0865,15.1725,9.0415,108.03
Guacamole,guacamole_2,63409015,229.0,332.05,4.2823,29.9761,18.5261,297.96
Guacamole,new_guacamole_1,63409010,246.0,381.3,4.797,34.8828,20.787,245.44
Guacamole,new_guacamole_2,63409010,158.0,244.9,3.081,22.404400000000003,13.351,192.77
Guacamole,new_guacamole_3,63409010,112.0,173.6,2.184,15.8816,9.464,119.44
Guacamole,new_guacamole_4,63409010,109.0,168.95,2.1255,15.4562,9.2105,115.98
Gyoza,new_gyoza_1,58121620,15.0,41.7,1.4,2.14,4.18,20.89
Gyoza,new_gyoza_3,58121620,15.0,41.7,1.4,2.14,4.18,31.13
Gyoza,new_gyoza_4,58121620,15.0,41.7,1.4,2.14,4.18,20.45
Gyoza,new_gyoza_5,58121620,14.0,38.92,1.31,2.0,3.91,21.67
Hashbrown,hash1,71404000,230.0,499.1,6.026,26.404,64.929,153.77
Hashbrown,new_hashbrown_1,71404030,310.0,843.2,7.998,52.824,89.528,669.8
Hashbrown,new_hashbrown_2,71404030,170.0,462.4,4.386,28.968,49.096,55.33
Hashbrown,new_hashbrown_3,71404040,49.0,144.55,2.9547,9.7363,11.9903,28.85
Hashbrown,new_hashbrown_4,71404040,81.0,238.95,4.884300000000001,16.0947,19.8207,192.48
Ice_cream,ice_cream_1,13110000,203.0,448.6299999999999,7.247099999999999,22.939,53.5108,288.53
Ice_cream,ice_cream_4,13120792,90.0,317.7,4.815,19.62,31.158,134.96
Ice_cream,new_ice_cream_1,13110112,261.0,649.89,10.2573,30.6936,89.75789999999999,372.49
Ice_cream,new_ice_cream_2,13110112,122.0,303.78,4.7946,14.3472,41.9558,176.02
Ice_cream,new_ice_cream_3,13110100,120.0,248.4,4.2,13.2,28.32,162.81
Ice_cream,new_ice_cream_4,13120500,57.0,150.48,2.4396,6.726,20.4516,103.69
Kiwi,new_kiwi_1,63126500,126.0,80.64,1.3356,0.5544,17.64,125.19
Kiwi,new_kiwi_2,63126500,64.0,40.96,0.6784,0.2816,8.96,64.01
Kiwi,new_kiwi_3,63126500,16.0,10.24,0.1696,0.0704,2.24,14.45
Kiwi,new_kiwi_4,63126500,39.0,24.96,0.4134,0.1716,5.46,38.03
Kiwi,new_kiwi_5,63126500,125.0,80.0,1.325,0.55,17.5,124.08
Lasagna,new_lasagna_1,58130014,368.0,680.8000000000001,39.85440000000001,39.3392,41.8048,254.88
Lasagna,new_lasagna_2,58130014,292.0,540.1999999999999,31.6236,31.2148,33.1712,342.03
Lasagna,new_lasagna_3,58130013,141.0,136.77,4.5684,4.8081,18.6966,1051.03
Lasagna,new_lasagna_4,58130013,931.0,903.07,30.1644,31.7471,123.4506,137.21
Lobster,new_lobster_1,26311110,63.0,61.11,13.1733,0.5984999999999999,0.0,92.81
Lobster,new_lobster_2,26311160,93.0,90.21,19.4463,0.8834999999999998,0.0,169.23
Mac,Mac1,58145111,186.0,280.86,10.0812,11.2716,34.968,215.64
Mac,Mac3,58145111,1.0,1.51,0.0542,0.06059999999999999,0.188,1.46
Mac,new_mac_and_cheese_1,58145117,243.0,267.3,7.9218,4.519800000000001,48.843,367.3
Mac,new_mac_and_cheese_2,58145110,172.0,383.56,14.929599999999999,18.06,39.697599999999994,134.2
Mac,new_mac_and_cheese_3,58145120,140.0,229.6,10.626,9.506,25.522,141.54
Mac,new_mac_and_cheese_4,58145135,465.0,976.5000000000001,54.8235,51.894000000000005,75.051,526.9
Mango,new_mango_1,63129010,376.0,225.6,3.0832,1.4288,56.3248,377.38
Mango,new_mango_2,63129010,408.0,244.8,3.3456,1.5504,61.1184,411.42
Mango,new_mango_3,63129010,107.0,64.2,0.8774,0.4066,16.0286,113.16
Mango,new_mango_4,63129010,300.0,180.0,2.46,1.14,44.94,298.48
Mango,new_mango_5,63129010,380.0,228.0,3.116,1.444,56.924,392.5
Mashed_Potato,mash1,71501016,130.0,179.4,2.691,9.386,21.801,120.69
Mashed_Potato,new_mashed_potato_1,71501005,188.0,167.32,3.102,5.3016,27.542,171.09
Mashed_Potato,new_mashed_potato_2,71501005,201.0,178.89,3.3165,5.668199999999999,29.4465,198.34
Mashed_Potato,new_mashed_potato_3,71501007,80.0,84.80000000000001,1.576,4.008,10.632,103.94
Meatloaf,meatloaf_1,27214100,155.0,308.45,27.094,16.616,11.16,50.71
Meatloaf,meatloaf_2,27214100,105.0,208.95,18.354,11.256,7.56,91.49
Meatloaf,meatloaf_3,27214100,89.0,177.11,15.5572,9.5408,6.408,78.35
Meatloaf,new_meatloaf_1,27214110,98.0,155.82,13.5044,8.183,6.6346,95.0
Meatloaf,new_meatloaf_2,27214110,103.0,163.77,14.1934,8.6005,6.9731,100.49
Meatloaf,new_meatloaf_3,27214110,109.0,173.31,15.0202,9.1015,7.3793,99.83
Melons,melon_1,63149010,17.0,5.100000000000001,0.1037,0.0255,1.2835,24.53
Melons,melon_10,63109010,40.0,15.2,0.328,0.072,3.264,41.15
Melons,melon_12,63127010,24.0,8.64,0.1296,0.0336,2.1816,23.02
Melons,melon_13,63109010,20.0,7.600000000000001,0.164,0.036,1.632,38.87
Melons,melon_2,63149010,23.0,6.9,0.1403,0.0345,1.7365,31.04
Melons,melon_3,63149010,18.0,5.399999999999999,0.1098,0.027,1.359,25.6
Melons,melon_4,63149010,23.0,6.9,0.1403,0.0345,1.7365,22.94
Melons,melon_5,63109010,36.0,13.68,0.2952,0.0648,2.9376,52.52
Melons,melon_6,63109010,28.0,10.64,0.2296,0.0504,2.2848,31.17
Melons,melon_8,63109010,31.0,11.78,0.2542,0.0558,2.5296,48.62
Melons,melon_9,63109010,35.0,13.3,0.287,0.063,2.856,33.84
Muffin,muffin_1,52302010,101.0,378.75,4.5349,16.2307,53.53,232.74
Muffin,muffin_2,52302600,98.0,387.1,6.4092,18.375,49.9212,217.7
Muffin,last_muffin_1,52302010,30.0,118.5,1.962,5.625,15.282,51.25
Muffin,last_muffin_2,52302500,30.0,118.5,1.962,5.625,15.282,46.65
Muffin,last_muffin_3,52302010,68.0,268.6,4.4472,12.75,34.6392,109.56
Nachos,nachos1,58104180,468.0,2208.0,33.22,25.27,317.21,615.36
Nachos,new_nachos_1,58104120,82.0,217.3,3.739199999999999,12.8002,22.7632,135.82
Nachos,new_nachos_2,58104120,135.0,357.75,6.156,21.0735,37.47600000000001,116.32
Nachos,new_nachos_3,58104130,402.0,1061.28,43.4562,63.75719999999999,79.67639999999999,1012.18
Nachos,new_nachos_4,58104150,439.0,1057.99,49.4753,58.1236,87.0098,814.21
Nutrition bars,new_nutrition_bar_1,53720200,69.0,238.74,10.1499,4.0572,45.1536,58.6
Nutrition bars,new_nutrition_bar_2,53720200,71.0,245.66,10.4441,4.174799999999999,46.4624,60.88
Nutrition bars,new_nutrition_bar_3,53720200,71.0,245.66,10.4441,4.174799999999999,46.4624,61.44
Nutrition bars,new_nutrition_bar_4,53720200,67.0,231.82,9.8557,3.9396,43.8448,62.36
Nutrition bars,new_nutrition_bar_5,53720200,70.0,242.2,10.297,4.116,45.80799999999999,64.07
Omelet,omelet_1,32129990,402.0,743.6999999999999,46.55159999999999,60.3,3.6582,371.88
Omelet,omelet_2,32130440,264.0,340.56,29.4096,22.9944,3.7488,278.83
Omelet,omelet_3,32130240,317.0,621.3199999999999,40.6394,49.4837,3.1066,350.4
Omelet,new_omlet_1,32130490,165.0,275.55,17.4075,21.7965,2.475,204.16
Omelet,new_omlet_2,32130110,124.0,264.12,15.7232,21.5884,1.7112,151.86
Omelet,new_omlet_3,32130010,203.0,389.76,23.4668,32.0943,1.827,228.71
Omelet,new_omlet_4,32130490,257.0,429.19,27.1135,33.9497,3.855,282.88
Onion,new_onion_1,75117020,275.0,104.5,2.365,0.22,23.265,293.54
Onion,new_onion_2,75117020,97.0,36.86,0.8341999999999999,0.0776,8.2062,108.47
Onion,new_onion_3,75117020,49.0,18.62,0.4214,0.0392,4.1454,80.28
Onion,new_onion_4,75117020,26.0,9.88,0.2236,0.0208,2.1996,37.28
Onion,new_onion_5,75117020,207.0,78.66,1.7802,0.1656,17.5122,223.6
Pancake,pancake_1,55100050,270.0,828.9000000000001,19.332,41.79600000000001,92.17800000000001,531.43
Pancake,pancake_2,55100050,264.0,810.48,18.9024,40.8672,90.12960000000001,196.32
Pancake,pancake_3,55100050,160.0,491.2,11.456,24.768,54.624,68.07
Pancake,pancake_4,55100050,192.0,589.4399999999999,13.7472,29.7216,65.5488,521.38
Pancake,new_pancake_1,55100060,90.0,324.0,6.714,16.812,36.018,198.17
Pancake,new_pancake_2,55100010,160.0,372.8,8.368,10.928,60.40000000000001,360.63
Pancake,new_pancake_4,55100020,36.0,80.64,1.7964,2.3472,13.1292,54.73
Pancake,new_pancake_5,55100020,40.0,89.60000000000001,1.996,2.608,14.588,70.13
Papaya,new_pappaya_1,63133010,984.0,423.12,4.6248,2.5584,106.4688,1090.14
Papaya,new_pappaya_2,63133010,455.0,195.65,2.1385,1.183,49.231,487.85
Papaya,new_pappaya_3,63133010,521.0,224.03,2.4487,1.3546,56.3722,578.91
Papaya,new_pappaya_4,63133010,17.0,7.31,0.0799,0.0442,1.8394,16.87
Papaya,new_pappaya_5,63133010,10.0,4.3,0.047,0.026,1.082,10.52
Pasta_mixed_dishes,pasta1,58146381,545.0,1111.74,20.8725,76.4055,84.0896,731.86
Pasta_mixed_dishes,new_pasta_and_mixed_dishes_1,58146381,308.0,628.32,11.7964,43.1816,47.5244,355.66
Pasta_mixed_dishes,new_pasta_and_mixed_dishes_2,58146321,265.0,471.7,14.3895,24.5125,47.011,357.05
Pasta_mixed_dishes,new_pasta_and_mixed_dishes_3,58146223,325.0,390.0,11.7325,9.685,63.18000000000001,400.36
Pasta_mixed_dishes,new_pasta_and_mixed_dishes_4,56130000,281.0,441.17,16.1856,2.5852,86.2108,204.64
Peach,new_peach_1,63135010,171.0,78.66,1.5561,0.4617,17.271,182.55
Peach,new_peach_3,63135010,183.0,84.18,1.6653,0.4941,18.483,193.1
Peach,new_peach_4,63135010,167.0,76.82,1.5197,0.4509,16.867,162.84
Peach,new_peach_5,63135140,9.0,4.859999999999999,0.036,0.0072,1.2231,20.09
Peanut butter and jelly sandwiches,new_pbj_1,42302015,93.0,346.89,10.7043,15.3729,42.0546,285.25
Peanut butter and jelly sandwiches,new_pbj_2,42302015,44.0,164.12,5.0644,7.2732,19.8968,116.7
Peanut butter and jelly sandwiches,new_pbj_3,42302020,117.0,434.07,14.6952,19.5741,50.544,325.13
Peanut butter and jelly sandwiches,new_pbj_4,42302020,57.0,211.47,7.159199999999999,9.5361,24.624,144.59
Peanut butter and jelly sandwiches,new_pbj_5,42302020,114.0,422.9399999999999,14.3184,19.0722,49.248,294.46
Peanuts,peanuts_1,42111100,63.0,377.37,17.6589,33.075,9.6138,56.53
Peanuts,peanuts_2,42111100,41.0,245.59,11.4923,21.525,6.2566,93.15
Peanuts,new_peanut_3,42111100,10.0,59.90000000000001,2.803,5.25,1.526,16.85
Peanuts,peanuts_4,42111110,9.0,53.91,2.5227,4.725,1.3734,8.94
Peanuts,new_peanut_5,42111100,3.0,17.97,0.8409,1.575,0.4578,5.98
Peanuts,new_peanut_6,42111100,110.0,658.9000000000001,30.83300000000001,57.75000000000001,16.786,352.1
Pie,apple_pie_1,53300100,96.0,284.16,2.592,14.6688,36.04799999999999,132.71
Pie,apple_pie_2,53300100,80.0,236.8,2.16,12.224,30.04,124.62
Pie,new_pie_1,53342000,110.0,320.1,3.245000000000001,18.524,35.49700000000001,130.42
Pie,new_pie_2,53385000,94.0,413.6,5.546,23.5564,46.6522,91.67
Pie,new_pie_3,53301000,108.0,319.68,2.916,16.5024,40.554,138.6
Pie,new_pie_4,53305700,110.0,308.0,2.871,17.908,34.364,121.47
Pineapple,new_pineapple_1,63141010,2091.0,1045.5,11.2914,2.5092,274.3392,2292.04
Pineapple,new_pineapple_2,63141010,2006.0,1003.0,10.8324,2.4072,263.1872,2215.17
Pineapple,new_pineapple_3,63141140,29.0,17.98,0.116,0.0319,4.524,24.47
Pineapple,new_pineapple_4,63141140,32.0,19.84,0.128,0.0352,4.992,28.19
Pineapple,new_pineapple_5,63141140,32.0,19.84,0.128,0.0352,4.992,29.49
Pizza,pizza1,58106230,59.0,159.89,6.3779,6.218599999999999,19.5703,119.83
Pizza,new_pizza_1,58106225,66.0,175.56,7.5174,6.3954,21.9978,91.58
Pizza,new_pizza_2,58107212,76.0,183.16,7.6988,8.8768,17.9284,188.58
Pizza,new_pizza_3,58106655,460.0,1260.4,63.70999999999999,57.04,122.452,530.71
Pizza,new_pizza_4,58106655,166.0,454.84,22.991,20.584,44.1892,267.47
Pork_Chop,Pork_Chop_1,22101000,201.0,367.83,55.27499999999999,15.1755,0.0,196.5
Pork_Chop,Pork_Chop_2,22101000,201.0,367.83,55.27499999999999,15.1755,0.0,187.05
Pork_Chop,Pork_Chop_3,22101000,210.0,384.3,57.75,15.855,0.0,201.85
Pork_Chop,Pork_Chop_4,22101000,210.0,384.3,57.75,15.855,0.0,184.73
Pork_Chop,Pork_Chop_6,22101000,199.0,364.17,54.725,15.0245,0.0,163.55
Pork_Rib,Pork_Rib_1,22701000,309.0,784.86,50.11979999999999,46.7208,37.4817,15.15
Pork_Rib,Pork_Rib_2,22701000,332.0,843.28,53.85039999999999,50.19839999999999,40.2716,249.67
Pork_Rib,Pork_Rib_3,22701000,286.0,726.4399999999999,46.3892,43.24319999999999,34.6918,257.63
Pudding,new_pudding_1,13210350,119.0,211.82,6.2237,5.8786,33.6056,188.35
Pudding,new_pudding_2,13210350,120.0,213.6,6.276000000000001,5.928,33.888,117.25
Pudding,new_pudding_3,13210410,203.0,219.24,6.5569,4.3645,37.3317,114.38
Pudding,new_pudding_4,13210520,119.0,154.7,2.3205,4.6172,25.8111,116.71
Pudding,new_pudding_5,13210520,117.0,152.1,2.2815,4.539599999999999,25.3773,112.94
Quesadilla,quesadilla_1,58104740,54.0,155.52,7.862400000000001,7.0632,14.7312,147.98
Quesadilla,quesadilla_3,58104730,60.0,183.6,8.508,9.132,16.368,179.9
Quesadilla,quesadilla_4,58104730,87.0,266.22,12.3366,13.2414,23.7336,96.92
Quesadilla,new_quesedilla_1,58104710,72.0,229.68,9.828,11.8368,20.5344,91.81
Quesadilla,new_quesedilla_2,58104710,88.0,280.72,12.012,14.4672,25.0976,112.72
Quesadilla,new_quesedilla_3,58104740,103.0,296.64,14.9968,13.4724,28.0984,136.08
Quesadilla,new_quesedilla_4,58104740,121.0,348.48,17.6176,15.8268,33.0088,148.82
Quickbread,Quickbread_1,52201000,58.0,191.4,3.8222,5.5564,31.5868,105.16
Quickbread,Quickbread_2,52201000,58.0,191.4,3.8222,5.5564,31.5868,106.25
Quickbread,Quickbread_3,52201000,60.0,198.0,3.954,5.748,32.676,103.19
Quickbread,Quickbread_4,52201000,52.0,171.6,3.4268,4.9816,28.3192,131.59
Quickbread,Quickbread_5,52201000,67.0,221.1,4.4153,6.418600000000001,36.48820000000001,146.55
Rice,Rice_1,56205000,130.0,167.7,3.471,0.364,36.387,204.58
Rice,Rice_3,56205000,115.0,148.35,3.0705,0.322,32.1885,211.22
Rice,new_white_and_brown_rice_1,56205002,87.0,131.37,2.262,2.7144,23.6553,218.62
Rice,new_white_and_brown_rice_2,56205011,81.0,98.82000000000001,2.2113,0.7776000000000001,20.6145,195.68
Rice,new_white_and_brown_rice_3,56205012,431.0,603.4,11.4646,14.0937,107.1466,600.22
Rice,new_rice_1,56205011,195.0,237.89,5.3235,1.8719,49.6273,210.78
Rice,new_rice_2,56205011,176.0,214.71,4.8047,1.6895,44.7912,91.17
Rice,new_rice_3,56205011,335.0,334.99,7.4963,2.636,69.8831,446.29
Salmon_Grill,Salmon_Grill_1,26137110,88.0,241.12,22.352,16.192,0.0088,85.18
Salmon_Grill,Salmon_Grill_2,26137110,51.0,139.74,12.954,9.383999999999999,0.0051,49.21
Salmon_Grill,Salmon_Grill_3,26137110,226.0,619.2399999999999,57.40399999999999,41.584,0.0226,211.66
Salmon_Grill,Salmon_Grill_4,26137110,163.0,446.6199999999999,41.40199999999999,29.992,0.0163,162.19
Salmon_Grill,new_salmon_1,26137123,165.0,427.35,42.768,27.192,0.0,147.89
Salmon_Grill,new_salmon_2,26137123,201.0,520.5899999999999,52.0992,33.1248,0.0,183.23
Salmon_Grill,new_salmon_3,26137123,59.0,152.81,15.2928,9.7232,0.0,54.05
Salmon_Grill,new_salmon_4,26137123,110.0,284.9,28.512,18.128,0.0,100.59
Sausages,new_sausage_1,25220350,94.0,313.02,12.8968,27.4292,2.679,90.15
Sausages,new_sausage_2,25220350,65.0,216.45,8.918000000000001,18.967,1.8525,68.43
Sausages,new_sausage_3,25220350,68.0,226.44,9.329600000000001,19.8424,1.938,64.65
Sausages,new_sausage_4,25220350,14.0,46.62,1.9208,4.0852,0.3990000000000001,14.41
Sausages,new_sausage_5,25221830,23.0,44.39,4.5195,2.8152,0.2507,20.43
Sandwich,Sandwich_1,27540350,156.0,336.96,20.8884,11.7624,40.8564,356.57
Sandwich,Sandwich_2,27541000,115.0,253.0,17.1465,8.6365,25.9325,218.44
Sandwich,Sandwich_3,27500050,50.0,146.5,6.41,6.015,16.905,174.44
Sandwich,Sandwich_4,27500050,53.0,155.29,6.794600000000001,6.3759,17.9193,174.78
Sandwich,Sandwich_5,27514010,176.0,438.24,31.52,14.2,44.79,301.89
Sandwich,Sandwich_6,27500050,152.0,445.36,19.4864,18.2856,51.3912,595.88
Sandwich,Sandwich_7,27500050,137.0,401.41,17.5634,16.4811,46.3197,548.2
Sandwich,Sandwich_8,27500050,117.0,342.81,14.9994,14.0751,39.5577,514.38
Shrimp,Shrimp_1,26319140,9.0,19.62,1.1034,1.1646,1.1169,13.46
Shrimp,Shrimp_3,26319140,13.0,28.34,1.5938,1.6822,1.6133,16.23
Shrimp,Shrimp_5,58150510,3.0,4.98,0.2004,0.0891,0.8355,2.36
Shrimp,Shrimp_6,58150510,3.0,4.98,0.2004,0.0891,0.8355,2.76
Shrimp,Shrimp_7,26319140,165.0,359.7,20.29,21.35,20.47,415.77
Shrimp,Shrimp_8,27150110,8.0,7.92,1.0592,0.0976,0.6336,10.93
Soup,soup1,74601010,252.0,148.68,6.048,3.2508,25.2756,237.35
Soup,new_soup_1,75607060,356.0,234.96,8.3304,13.2432,20.6836,378.36
Soup,new_soup_2,75607060,298.0,196.68,6.973199999999999,11.0856,17.3138,379.05
Soup,new_soup_3,28310330,370.0,329.3,22.755,8.362,38.40600000000001,406.71
Steak,Steak_1,21101170,414.0,1076.4,103.5,73.4,0.0,145.53
Steak,Steak_3,21105130,124.0,322.4,31.0,21.98,0.0,114.84
Steak,Steak_4,21105130,124.0,322.4,31.0,21.98,0.0,116.23
Steak,last_steak_1,21101170,257.0,668.1999999999999,64.25,45.55532258064516,0.0,277.65
Stew_Beef,stew_1,21304200,584.0,1477.22,106.28,82.34,70.83,668.69
Stew_Beef,new_beef_stew_1,27311410,375.0,296.25,23.3625,8.325000000000001,32.25,398.5
Stew_Beef,new_beef_stew_2,27311310,299.0,269.1,15.6676,11.9002,24.6675,407.39
Stew_Beef,beef_stew_3,27311310,309.0,278.1,16.1916,12.2982,25.4925,236.83
Stew_Beef,new_beef_stew_4,27211200,495.0,1089.0,72.1215,73.50750000000001,32.3235,628.26
Strawberry,Strawberry_1,63223020,12.0,4.2,0.0768,0.0264,0.9156,13.58
Strawberry,Strawberry_2,63223020,34.0,11.9,0.2176,0.0748,2.5942,38.53
Strawberry,Strawberry_3,63223020,41.0,14.35,0.2624,0.09019999999999999,3.1283,49.65
Strawberry,new_strawberry_1,63223020,50.0,17.5,0.32,0.11,3.815,57.72
Sweet Potato,new_sweet_potato_1,73405010,201.0,152.76,2.7336,0.2814,35.47649999999999,195.05
Sweet Potato,new_sweet_potato_2,73405010,234.0,177.84,3.1824,0.3276,41.30099999999999,217.15
Sweet Potato,new_sweet_potato_3,73405010,278.0,211.28,3.7808,0.3892,49.06699999999999,259.31
Sweet Potato,new_sweet_potato_4,73409000,260.0,244.4,4.368,6.136,44.096,302.57
Sweet Potato,new_sweet_potato_5,73409000,290.0,272.6,4.872,6.843999999999999,49.184,335.49
Sushi,Sushi_1,58151180,37.0,34.78,1.0804,0.2479,6.8117,42.87
Sushi,Sushi_2,58151180,24.0,22.56,0.7008,0.1608,4.4184,28.0
Sushi,Sushi_3,58151200,26.0,26.78,1.7888,0.3328,3.978,30.66
Sushi,sushi_5,58151170,26.0,24.18,0.4706,0.3822,4.6046,28.7
Sushi,sushi_6,58151180,30.0,28.2,0.876,0.201,5.523,33.08
Sushi,sushi_7,58151190,27.0,31.32,1.6065,0.8046000000000001,4.131,28.75
Sushi,sushi_8,58151200,29.0,29.87,1.9952,0.3712,4.437,32.33
Sushi,sushi_9,58151210,17.0,17.0,1.1917,0.09350000000000001,2.6639,22.15
Taco,taco_1,58102020,89.0,189.57,9.49,9.46,9.49,151.49
Taco,new_taco_1,58102050,97.0,205.64,15.7819,9.3411,14.8313,140.87
Taco,new_taco_2,58102210,117.0,321.75,13.5954,17.8893,26.8983,136.91
Taco,new_taco_4,58102110,194.0,500.52,32.47559999999999,23.862,36.5884,222.05
Tofu,new_tofu_1,41420010,24.0,14.64,1.7208,0.8855999999999999,0.2832,24.47
Tofu,new_tofu_2,41420010,15.0,9.15,1.0755,0.5535,0.177,15.84
Tofu,new_tofu_3,41420010,19.0,11.59,1.3623,0.7011,0.2242,20.48
Tofu,new_tofu_4,41420010,7.0,4.27,0.5019,0.2583,0.0826,8.92
Tofu,new_tofu_5,41420010,13.0,7.930000000000001,0.9321,0.4797,0.1534,14.67
Tomato,tomato_3,74101000,145.0,29.0,1.189,0.4495,5.858,247.16
Tomato,Tomato_4,74101000,332.0,66.39999999999999,2.722399999999999,1.0292,13.4128,283.3
Tomato,new_tomato_1,74101000,95.0,19.0,0.7789999999999999,0.2945,3.838,87.96
Tomato,new_tomato_2,74101000,103.0,20.6,0.8446,0.3193,4.1612,92.29
Tomato,new_tomato_3,74101000,81.0,16.2,0.6642,0.2511,3.2724,74.23
Tomato,new_tomato_4,74101000,80.0,16.0,0.656,0.248,3.232,69.35
Tomato_slice,slice_1,74101000,70.0,14.0,0.574,0.217,2.828,66.72
Tomato_slice,new_tomato_slice_1,74101000,33.0,6.600000000000001,0.2706,0.1023,1.3332,36.05
Tomato_slice,new_tomato_slice_2,74101000,20.0,4.0,0.164,0.062,0.808,18.5
Tomato_slice,new_tomato_slice_3,74101000,14.0,2.8,0.1148,0.0434,0.5656000000000001,13.86
Tomato_slice,new_tomato_slice_4,74101000,6.0,1.2,0.04919999999999999,0.0186,0.2424,5.66
Tortilla,tortilla_1,52215000,44.0,115.28,3.058,2.3848,20.6844,88.74
Tortilla,new_tortilla_1,52215260,37.0,114.7,3.6112,3.6112,16.9793,17.25
Tortilla,new_tortilla_2,52215260,39.0,120.9,3.8064,3.8064,17.8971,-14.81
Tortilla,new_tortilla_3,52215200,40.0,122.4,3.28,3.196,19.752,-5.4
Tortilla,new_tortilla_4,52215200,40.0,122.4,3.28,3.196,19.752,101.74
Tortilla_Chips,tortilla_corn_chip_1,54401021,2.0,10.7,0.1224,0.662,1.1364,3.95
Tortilla_Chips,tortilla_corn_chip_2,54401021,22.0,117.7,1.3464,7.282,12.5004,27.41
Tortilla_Chips,tortilla_corn_chip_4,54401085,2.0,10.38,0.1472,0.5484,1.2162,4.51
Tortilla_Chips,tortilla_corn_chip_5,54401021,2.0,10.7,0.1224,0.662,1.1364,1.95
Tortilla_Chips,new_chips_1,54401075,3.0,14.16,0.213,0.6204,2.0334,2.11
Tortilla_Chips,new_chips_2,54401075,3.0,14.16,0.213,0.6204,2.0334,3.37
Tortilla_Chips,new_chips_3,54401075,3.0,14.16,0.213,0.6204,2.0334,5.75
Tortilla_Chips,new_chips_4,54401075,3.0,14.16,0.213,0.6204,2.0334,3.46
Tuna_salad,tuna_salad_1,27450060,81.0,156.33,8.1972,12.8385,2.2842,80.94
Tuna_salad,new_tuna_salad_1,27450060,54.0,104.22,5.4648,8.559000000000001,1.5228,101.15
Tuna_salad,new_tuna_salad_2,27450066,42.0,44.1,4.1454,2.1378,2.2134,96.91
Tuna_salad,new_tuna_salad_3,27450064,21.0,30.87,2.1063,2.1609,0.8273999999999999,23.63
